REEF_ID,YEAR,SUBREGION,REGION_PS,MACROALGAE,HARD_CORAL,PSI,LON,LAT
1810,2002,Western Pacific,Indo-Pacific,25,61,-0.91772,162.94714,5.35325
1811,2003,Western Pacific,Indo-Pacific,9.4,48.4,-1.14977,162.95036,5.34497
1812,2002,Western Pacific,Indo-Pacific,5.6,62.5,-1.86537,162.97839,5.36956
1813,2004,Western Pacific,Indo-Pacific,10.6,52.5,-1.24916,162.99714,5.26536
1814,2004,Western Pacific,Indo-Pacific,10,36.3,-0.65034,162.99722,5.25753
1815,2004,Western Pacific,Indo-Pacific,26.3,55.6,-0.65103,162.00986,5.37519
1817,2004,Western Pacific,Indo-Pacific,26.9,27.5,0.4639,163.02589,5.36525
1818,2002,Western Pacific,Indo-Pacific,13.8,46.9,-0.88816,163.03431,5.33917
1819,2004,Western Pacific,Indo-Pacific,16.3,62.5,-1.37658,162.02925,5.28561
1820,2005,Western Pacific,Indo-Pacific,3.1,63.8,-2.02865,163.03775,5.31478
1832,2004,Philippines_Spra,Indo-Pacific,35.9,24.4,1.0015,123.97417,10.25133
1833,2006,Philippines_Spra,Indo-Pacific,14.4,13.1,0.444,124.00847,10.28989
1835,2004,Philippines_Spra,Indo-Pacific,27.5,22.5,0.68575,124.18222,10.29631
1838,2005,Philippines_Spra,Indo-Pacific,7.8,10.6,0.23864,124.04883,10.28369
1839,2005,Philippines_Spra,Indo-Pacific,8.1,11.3,0.22888,124.05033,10.28458
1840,2006,Philippines_Spra,Indo-Pacific,11.6,10.3,0.42323,124.05628,10.28861
1841,2005,Philippines_Spra,Indo-Pacific,11.3,1.9,0.7347,124.07333,10.29386
1842,2004,Philippines_Spra,Indo-Pacific,13.8,43.1,-0.74334,124.16481,10.29481
1845,2004,Philippines_Spra,Indo-Pacific,20.6,45.6,-0.52361,124.00444,10.28486
1846,2004,Philippines_Spra,Indo-Pacific,12.5,18.1,0.16464,124.14711,10.29756
1848,2003,Philippines_Spra,Indo-Pacific,1.3,18.8,-0.37704,123.98467,10.2625
1849,2005,Philippines_Spra,Indo-Pacific,10,22.5,-0.11933,123.97156,10.24936
1850,2004,Philippines_Spra,Indo-Pacific,27.5,8.8,1.21676,124.05769,10.28753
1851,2005,Philippines_Spra,Indo-Pacific,16.9,10,0.67969,124.07294,10.29169
1852,2002,Philippines_Spra,Indo-Pacific,8.1,21.3,-0.15731,124.04392,10.21417
1853,2004,Philippines_Spra,Indo-Pacific,18.8,54.1,-0.93571,123.98497,10.21103
1854,2006,Philippines_Spra,Indo-Pacific,16.3,21.3,0.21647,123.99778,10.28228
1855,2006,Philippines_Spra,Indo-Pacific,4.4,29.4,-0.64361,124.00278,10.28544
1856,2004,Philippines_Spra,Indo-Pacific,6.3,14.7,0.00987,124.04831,10.28336
1858,2003,Philippines_Spra,Indo-Pacific,15,43.1,-0.68583,123.98944,10.26975
1859,2003,Philippines_Spra,Indo-Pacific,13.8,1.9,0.84971,124.02142,10.25678
1860,2003,Philippines_Spra,Indo-Pacific,29.1,48.8,-0.25613,124.01736,10.25194
1861,2003,Philippines_Spra,Indo-Pacific,18.8,21.3,0.33148,124.01117,10.28994
